The following table shows the names of the delegates who at some point attended the Continental Congress. Because a delegate did not necessarily take his seat in Congress in the same year that he was elected, nor did he necessarily stay for the duration of his term, there are slight discrepancies in the sources regarding the years of service for some delegates. Only those years that the delegate actually attended Congress are shown on the table. All data is from the Biographical Directory of the United States Congress, except where entries been corrected using more detailed sources, particularly the American National Biography.

The table also indicates (with an X) which delegates signed the Continental Association (1774), the United States Declaration of Independence (1776), the Articles of Confederation (1778–1781), and the United States Constitution (1787). The first three documents were created by Congress, and so all signers were necessarily delegates; the United States Constitution was signed at a special convention outside of Congress, and its signatories were not all current or former members of Congress.

John Dickinson has two entries on the table because he served as a delegate from both Pennsylvania and Delaware. The person who most frequently attended Congress was not a delegate: he was Charles Thomson, who served as secretary throughout Congress' existence.
	Name 	State 	Years attended 	Association 	Declaration 	Confederation 	Constitution
1 	Andrew Adams 	Connecticut 	1778 	— 	— 	X 	—
2 	John Adams 	Massachusetts 	1774–1777 	X 	X 	— 	—
3 	Samuel Adams 	Massachusetts 	1774–1781 	X 	X 	X 	—
4 	Thomas Adams 	Virginia 	1778–1779 	— 	— 	X 	—
5 	Robert Alexander 	Maryland 	1776 	— 	— 	— 	—
6 	Andrew Allen 	Pennsylvania 	1775–1776 	— 	— 	— 	—
7 	John Alsop 	New York 	1774–1776 	X 	— 	— 	—
8 	John Armstrong Sr. 	Pennsylvania 	1779–1780 	— 	— 	— 	—
9 	John Armstrong Jr. 	Pennsylvania 	1787–1788 	— 	— 	— 	—
10 	Jonathan Arnold 	Rhode Island 	1782–1784[3] 	— 	— 	— 	—
11 	Peleg Arnold 	Rhode Island 	1787–1788 	— 	— 	— 	—
12 	John B. Ashe 	North Carolina 	1787 	— 	— 	— 	—
13 	Samuel John Atlee 	Pennsylvania 	1778–1782 	— 	— 	— 	—
14 	Abraham Baldwin 	Georgia 	1785, 1787–1788 	— 	— 	— 	X
15 	John Banister 	Virginia 	1778 	— 	— 	X 	—
16 	Robert Barnwell 	South Carolina 	1789 	— 	— 	— 	—
	Name 	State 	Years attended 	Association 	Declaration 	Confederation 	Constitution
17 	Josiah Bartlett 	New Hampshire 	1775–1776, 1778 [4] 	— 	X 	X 	—
18 	John Bubenheim Bayard 	Pennsylvania 	1785–1786 	— 	— 	— 	—
19 	John Beatty 	New Jersey 	1784–1785 	— 	— 	— 	—
20 	Gunning Bedford Jr. 	Delaware 	1783–1785 	— 	— 	— 	X
21 	Thomas Bee 	South Carolina 	1780–1782 	— 	— 	— 	—
22 	Egbert Benson 	New York 	1784, 1787–1788 	— 	— 	— 	—
23 	Richard Beresford 	South Carolina 	1783–1784 	— 	— 	— 	—
24 	Edward Biddle 	Pennsylvania 	1774–1775 	X 	— 	— 	—
25 	William Bingham 	Pennsylvania 	1786–1788 	— 	— 	— 	—
26 	Jonathan Blanchard 	New Hampshire 	1783–1784, 1787[5] 	— 	— 	— 	—
27 	Richard Bland 	Virginia 	1774–1775 	X 	— 	— 	—
28 	Theodorick Bland 	Virginia 	1780–1783 	— 	— 	— 	—
29 	Timothy Bloodworth 	North Carolina 	1786 	— 	— 	— 	—
30 	William Blount 	North Carolina 	1782–1783, 1786–1787 	— 	— 	— 	X
31 	Simon Boerum 	New York 	1774–1775 	X 	— 	— 	—
32 	Elias Boudinot 	New Jersey 	1778, 1781–1783 	— 	— 	— 	—
	Name 	State 	Years attended 	Association 	Declaration 	Confederation 	Constitution
33 	Carter Braxton 	Virginia 	1776 	— 	X 	— 	—
34 	John Brown 	Virginia 	1787–1788 	— 	— 	— 	—
35 	Nathan Brownson 	Georgia 	1777 	— 	— 	— 	—
36 	John Bull 	South Carolina 	1784–1787 	— 	— 	— 	—
37 	Archibald Bulloch 	Georgia 	1775 	— 	— 	— 	—
38 	Thomas Burke 	North Carolina 	1777–1781 	— 	— 	— 	—
39 	William Burnet 	New Jersey 	1780–1781 	— 	— 	— 	—
40 	Robert Burton 	North Carolina 	1787 	— 	— 	— 	—
41 	Pierce Butler 	South Carolina 	1787 	— 	— 	— 	X
42 	Lambert Cadwalader 	New Jersey 	1785–1787 	— 	— 	— 	—
43 	William Carmichael 	Maryland 	1778–1779 	— 	— 	— 	—
44 	Edward Carrington 	Virginia 	1786–1788 	— 	— 	— 	—
45 	Charles Carroll ("Barrister") 	Maryland 	1776–1777 	— 	— 	— 	—
46 	Charles Carroll ("of Carrollton") 	Maryland 	1776–1778 [6] 	— 	X 	— 	—
47 	Daniel Carroll 	Maryland 	1781–1783 	— 	— 	X 	X
48 	Richard Caswell 	North Carolina 	1774–1775 	X 	— 	— 	—
