name,duration,genre,release_date,directors,stars
7 Faces of Dr. Lao (DVD),100 min,"Sci-Fi & Fantasy, Drama",11/18/2011,George Pal,"Tony Randall, Kevin Tate, Minerva Urecal, Dal McKennon, Peggy Rea, John Ericson, Frank Kreig, John Doucette, Barbara Eden, Arthur O'Connell, Noah Beery Jr., Eddie Little Sky"
The Hobbit: The Desolation of Smaug (DVD),161,Sci-Fi & Fantasy,04/08/2014,John Mallory Asher,"Mark Hadlow, Andy Serkis, Sylvester McCoy, Adam Brown, James Nesbitt, Ryan Gage, Richard Armitage, Aidan Turner, Ian McKellen, Stephen Hunter, Ken Stott, Evangeline Lilly, Mikael Persbrandt, Martin Freeman, Lee Pace, Peter Hambleton, John Callen, Benedict Cumberbatch, Luke Evans, Orlando Bloom, Graham McTavish"
We Walk the Line: A Celebration of the Music of Johnny Cash (Blu-ray),106 mins.,Music & Performance,,,"Sheryl Crow, Lucinda Williams, Ronnie Dunn, Kris Kristofferson, Amy Lee, Willie Nelson, Pat Monahan"
Great Sci-Fi Classics: Volume 2 (DVD),384,"Sci-Fi & Fantasy, Drama",06/24/2003,,"Don Sullivan, Kent Taylor, Jason Evers, Peter Graves, Douglas Kennedy"
Practical Magic (DVD),104 min,Comedy,11/03/2009,Griffin Dunne,"Sandra Bullock, Annabella Price, Stockard Channing, Nicole Kidman, Margo Martindale, Dianne Wiest, Camilla Belle, Aidan Quinn"
New in Town (DVD),96 min,Comedy,05/26/2009,Jonas Elmer,"Nancy Drake, J. K. Simmons, Siobhan Fallon-Hogan, Hilary Carroll, Stewart J. Zully, J.K. Simmons, Siobhan Fallon, Renée Zellweger, Frances Conroy, Robert Small, Michael O'Brien, Renee Zellweger, Harry Connick, Jr., Wayne Nicklas, Harry Connick Jr, Harry Connick Jr., Blaine Cypurda"
Good Deeds (DVD),110 min,Comedy,06/12/2012,Tyler Perry,"Thandie Newton, Jordenn Thompson, Phylicia Rashad, Jamie Kennedy, Gabrielle Union, Brian J. White, Nevaina Rhodes, Beverly Johnson, Tyler Perry, Eddie Cibrian, Rebecca Romijn, Rebecca Romijn-Stamos, Brian White, Andrew Masset"
Hunter Killer (DVD),121 min,Action & Adventure,,,"Gary Oldman, Gerard Butler"
KISS: Meet The Press (DVD),,Music & Performance,03/22/2011,,
Generation War (DVD),279 min,Drama,05/06/2014,Philipp Kadelbach,"Volker Bruch, Tom Schilling, Katharina Schuttler, Maxim Mehmet, Miriam Stein, Mark Waschke, Hildegard Schroedter, Gotz Schubert, Sylvester Groth, Ludwig Trepte, Henriette Richter-Rohl, Christiane Paul"
American Pie: The Complete Collection (DVD),425,Comedy,05/13/2014,"Jon Hurwitz, Hayden Schlossberg","Jason Biggs, Alyson Hannigan, Seann William Scott, Eddie Kaye Thomas, Thomas Ian Nicholas, Eugene Levy"
