A_id,B_id
1007,1641
1022,857
1034,2671
1034,1277
1040,2440
1064,2048
107,797
107,2716
1082,345
1085,2140
1088,2768
1088,1863
1097,636
1103,1151
1103,374
1109,2343
1118,1917
1127,2432
1136,112
1139,445
1151,1381
1151,1439
1151,1059
1151,424
116,1216
116,1020
116,680
116,1840
116,1998
116,263
116,1781
116,231
116,1636
116,41
116,2161
116,2553
1175,2723
1178,2805
1196,1020
1196,1998
1196,263
1196,1781
1196,2553
1211,1993
1226,2976
1232,1538
1238,2026
1238,2086
1238,2813
1238,2619
1238,273
1238,1065
1238,13
1241,2560
1259,2113
1259,1289
1262,2913
1307,2804
1313,2511
1319,1243
1319,287
1328,742
1328,1747
1328,1706
1328,2540
1334,1781
1334,231
1334,2553
1337,2023
1370,154
14,1218
140,1187
1400,460
1400,1283
1403,2272
1403,3038
1421,2536
1433,70
1445,1048
1457,1114
1460,257
1463,1102
1466,2512
1469,2344
1475,1170
1481,1166
1481,1715
1484,1674
1487,1742
1487,171
1487,1468
1487,2891
1502,2313
1514,929
1517,1620
152,689
1535,563
155,2601
1568,322
1574,1918
1613,1443
1613,689
1613,1355
1625,639
1634,2423
1646,856
1649,1763
1694,1243
1694,287
170,469
1703,2535
1721,2842
1724,2645
1727,660
1739,1473
1745,2189
1751,2818
1772,2276
1784,1219
179,1641
1802,1046
1829,118
1871,18
1874,589
1874,715
188,1702
1886,290
1904,1453
1904,1781
1904,1020
1904,263
1904,664
1904,2553
1916,1759
1943,3024
1991,2065
1997,1738
20,2591
2003,1016
2018,980
203,2950
2054,2906
2060,1680
2066,2502
2081,2554
2081,1944
2081,275
2099,646
2129,1557
2150,1297
2180,1898
2183,1619
2189,2537
2189,2891
2189,171
2189,1742
2210,138
2210,2839
2234,856
2243,1828
2261,1351
2270,3036
2270,2345
2285,990
2288,2498
2291,1684
2291,2673
2309,1768
2321,2427
2327,678
233,251
2333,467
2357,2529
2363,1003
2366,386
2369,2181
2369,1260
2369,1254
2378,1102
2384,65
2414,1011
242,2849
242,2977
2423,2277
2429,992
2435,2797
2438,11
245,1395
